iter	Passed	Remaining
0	1	123
1	3	172
2	5	178
3	6	165
4	8	158
5	10	160
6	12	159
7	13	157
8	15	157
9	17	155
10	18	152
11	20	151
12	22	148
13	23	145
14	24	141
15	26	137
16	27	134
17	28	131
18	29	127
19	31	124
20	32	121
21	33	118
22	34	115
23	35	112
24	36	109
25	37	106
26	38	104
27	39	101
28	40	99
29	41	96
30	42	94
31	43	91
32	44	89
33	45	87
34	46	85
35	47	83
36	47	81
37	48	79
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	53	67
44	54	66
45	54	64
46	55	62
47	56	61
48	57	59
49	58	58
50	58	56
51	59	55
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	90	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	97	0
